1,"いやー","、","先日",1
2,"、","先日","の",1
3,"先日","の","セカンド",1
4,"の","セカンド","は",2
5,"セカンド","は","やら",2
6,"は","やら","れ",2
7,"やら","れ","まし",5
8,"れ","まし","た",7
9,"まし","た","。",42
10,"た","。","はめ",2
11,"。","はめ","られ",2
12,"はめ","られ","まし",2
13,"られ","まし","た",3
14,"た","。","第",2
15,"。","第","一",3
16,"第","一","ロッター・・・・・",2
17,"一","ロッター・・・・・","小",2
18,"ロッター・・・・・","小","カタメ",2
19,"小","カタメ","少なめ",2
20,"カタメ","少なめ","　",2
21,"少なめ","　","第",2
22,"　","第","二",3
23,"第","二","ロッター・・・・・",2
24,"二","ロッター・・・・・","小",2
25,"小","カタメ","第",2
26,"カタメ","第","三",2
27,"第","三","ロッター・・・・・",2
28,"三","ロッター・・・・・","小",2
29,"小","カタメ","麺",2
30,"カタメ","麺","半分",2
31,"麺","半分","　",2
32,"半分","　","第",2
33,"　","第","四",3
34,"第","四","ロッター",3
35,"四","ロッター",(,2
36,"ロッター",(,"俺",2
37,(,"俺",),2
38,"俺",),"・",2
39,),"・","・",2
40,"・","・","・",41
41,"・","・","大",3
42,"・","大","見事",2
43,"大","見事","デ",2
44,"見事","デ","スロット",2
45,"デ","スロット","です",2
46,"スロット","です","。",2
47,"です","。","今",3
48,"。","今","思う",2
49,"今","思う","と",2
50,"思う","と","前",2
51,"と","前","の",2
52,"前","の","三",2
53,"の","三","人",5
54,"三","人","、",2
55,"人","、","確信",2
56,"、","確信","犯",2
57,"確信","犯","だっ",2
58,"犯","だっ","た",2
59,"だっ","た","と",3
60,"た","と","思う",4
61,"と","思う","。",13
62,"思う","。","知り合い",2
63,"。","知り合い","同士",2
64,"知り合い","同士","みたい",2
65,"同士","みたい","だっ",2
66,"みたい","だっ","た",3
67,"だっ","た","し",3
68,"た","し",(,2
69,"し",(,"てか",2
70,(,"てか","よく",2
71,"てか","よく","見る",2
72,"よく","見る","奴ら",2
73,"見る","奴ら","ｗ",2
74,"奴ら","ｗ",")、",2
75,"ｗ",")、","第",2
76,")、","第","三",2
77,"第","三","ロッター",3
78,"三","ロッター","の",2
79,"ロッター","の","メガネ",2
80,"の","メガネ","が",2
81,"メガネ","が","俺",2
82,"が","俺","の",7
83,"俺","の","食券",3
84,"の","食券","見",4
85,"食券","見","た",2
86,"見","た","後",2
87,"た","後","、",6
88,"後","、","前",2
89,"、","前","二",2
90,"前","二","人",2
91,"二","人","と",2
92,"人","と","ひそひそ",2
93,"と","ひそひそ","喋っ",2
94,"ひそひそ","喋っ","て",2
95,"喋っ","て","た",2
96,"て","た","。",9
97,"た","。","『",4
98,"。","『","あいつ",2
99,"『","あいつ","、",2
100,"あいつ","、","ロット",2
101,"、","ロット","乱し",3
102,"ロット","乱し","に",4
103,"乱し","に","し",2
104,"に","し","て",24
105,"し","て","恥",2
106,"て","恥","かかし",2
107,"恥","かかし","て",2
108,"かかし","て","やら",2
109,"て","やら","ない",2
110,"やら","ない","？",2
111,"ない","？","ｗ",2
112,"？","ｗ","』",2
113,"ｗ","』","こんな",2
114,"』","こんな","会話",2
115,"こんな","会話","し",2
116,"会話","し","て",3
117,"し","て","た",12
118,"て","た","ん",6
119,"た","ん","だろ",4
120,"ん","だろ","う",16
121,"だろ","う","な",7
122,"う","な","・",2
123,"な","・","・",7
124,"・","・","いつも",2
125,"・","いつも","大",2
126,"いつも","大","を",2
127,"大","を","相手",2
128,"を","相手","に",2
129,"相手","に","し",2
130,"に","し","てる",5
131,"し","てる","俺",2
132,"てる","俺","に",2
133,"俺","に","嫉妬",2
134,"に","嫉妬","し",2
135,"嫉妬","し","て",2
136,"し","て","ん",3
137,"て","ん","だろ",2
138,"う","な","。",6
139,"な","。","。",3
140,"。","。","陰険",2
141,"。","陰険","な",2
142,"陰険","な","やり方",2
143,"な","やり方","だ",2
144,"やり方","だ","よ",2
145,"だ","よ","。",11
146,"よ","。","正々堂々",2
147,"。","正々堂々","と",2
148,"正々堂々","と","二郎",2
149,"と","二郎","で",3
150,"二郎","で","勝負",2
151,"で","勝負","しろ",2
152,"勝負","しろ","よ",2
153,"しろ","よ","。",2
154,"よ","。","正直",2
155,"。","正直","ロット",2
156,"正直","ロット","タイム",2
157,"ロット","タイム","は",2
158,"タイム","は","心臓",2
159,"は","心臓","バク",2
160,"心臓","バク","バク",2
161,"バク","バク","だっ",2
162,"バク","だっ","た",2
163,"だっ","た","。",16
164,"た","。","でも",4
165,"。","でも","俺",2
166,"でも","俺","は",2
167,"俺","は","覚悟",3
168,"は","覚悟","決め",2
169,"覚悟","決め","た",2
170,"決め","た","。",3
171,"た","。","この",7
172,"。","この","卑劣",2
173,"この","卑劣","な",2
174,"卑劣","な","やつ",2
175,"な","やつ","ら",2
176,"やつ","ら","に",2
177,"ら","に","勝負",2
178,"に","勝負","挑ん",2
